GID	SYMBOL	GENENAME
aug_v2a.13442	Ddrgk1	DDRGK domain-containing protein 1
aug_v2a.15616	K02A2.6	Uncharacterized protein K02A2.6
aug_v2a.03550	LOC106611579	uncharacterized protein K02A2.6-like
aug_v2a.00732	CREBBP	CREB-binding protein
aug_v2a.14859	CREBBP	CREB-binding protein
aug_v2a.13752	CDY2A	Testis-specific chromodomain protein Y 2
aug_v2a.07763	Cmtr1	Cap-specific mRNA (Nucleoside-2'-O-)-methyltransferase 1
aug_v2a.21749	pol	Retrovirus-related Pol polyprotein from transposon 17.6
aug_v2a.08525	TY3B-G	Transposon Ty3-G Gag-Pol polyprotein
aug_v2a.02101	v1g206486	Predicted protein
aug_v2a.03540	TY3B-I	Transposon Ty3-I Gag-Pol polyprotein
aug_v2a.10022	BX640584.1	Uncharacterized protein
aug_v2a.15552	LOC106155276	uncharacterized protein K02A2.6-like
aug_v2a.03932	Tf2-9	Transposon Tf2-9 polyprotein
aug_v2a.15137	H355_006697	Uncharacterized protein
aug_v2a.17438	endouc	Poly(U)-specific endoribonuclease-C
aug_v2a.16332	endouc	Poly(U)-specific endoribonuclease-C
aug_v2a.21175	xrn-2	5'-3' exoribonuclease 2-like
aug_v2a.10776	ublcp1	Ubiquitin-like domain-containing CTD phosphatase 1
aug_v2a.24436	RNF40	E3 ubiquitin-protein ligase BRE1B
aug_v2a.01666	USP31	Ubiquitin carboxyl-terminal hydrolase 31
aug_v2a.08295	NR2F1	COUP transcription factor 1
aug_v2a.01484	Tada2a	Transcriptional adapter 2-alpha
aug_v2a.02103	Wee1	Wee1-like protein kinase
aug_v2a.04129	Fancm	Fanconi anemia group M protein-like
aug_v2a.17144	Rad54l2	Helicase ARIP4
aug_v2a.16955	Rad54l2	Helicase ARIP4
aug_v2a.23173	REG1B	Lithostathine-1-beta
aug_v2a.00268	Sox4	Transcription factor SOX-4
aug_v2a.19528	HIPK2	Homeodomain-interacting protein kinase 2
aug_v2a.22593	HIPK2	Homeodomain-interacting protein kinase 2
aug_v2a.17423	HIPK2	Homeodomain-interacting protein kinase 2
aug_v2a.16050	v1g209299	Predicted protein
aug_v2a.17289	Hyou1	Hypoxia up-regulated protein 1
aug_v2a.00861	Hyou1	Hypoxia up-regulated protein 1
aug_v2a.10140	LOTGIDRAFT_221850	Uncharacterized protein
aug_v2a.09534	HELZ2	Helicase with zinc finger domain 2
aug_v2a.16831	Helz2	Helicase with zinc finger domain 2
aug_v2a.02307	helz	Putative helicase with zinc finger domain
aug_v2a.09247	A6R68_21286	Uncharacterized protein
aug_v2a.16037	STK17A	Serine/threonine-protein kinase 17A
aug_v2a.12885	PBK	Lymphokine-activated killer T-cell-originated protein kinase
aug_v2a.06037	cdk8	Cyclin-dependent kinase 8 (Fragment)
aug_v2a.19658	cdk7	Cyclin-dependent kinase 7
aug_v2a.03660	Atad5	ATPase family AAA domain-containing protein 5
aug_v2a.16398	RECQL5	ATP-dependent DNA helicase Q5
aug_v2a.17774	MDN1	Midasin
aug_v2a.15040	AWC38_SpisGene16524	Uncharacterized protein
aug_v2a.08714	Blm	Bloom syndrome protein-like
aug_v2a.07481	AWC38_SpisGene2362	Uncharacterized protein
aug_v2a.09349	AWC38_SpisGene2362	Uncharacterized protein
aug_v2a.07570	AWC38_SpisGene2362	Uncharacterized protein
aug_v2a.20129	AWC38_SpisGene2362	Uncharacterized protein
aug_v2a.14959	dnajc27	DnaJ-like subfamily C member 27
aug_v2a.19774	GNL1	Guanine nucleotide-binding protein-like 1
aug_v2a.19502	RNGTT	mRNA-capping enzyme
aug_v2a.16591	AWC38_SpisGene3278	Meiosis expressed gene 1 protein-like
aug_v2a.21583	OCBIM_22031793mg	Uncharacterized protein
aug_v2a.11380	AWC38_SpisGene10946	UPF0686 protein C11orf1-like
aug_v2a.05486	AWC38_SpisGene10946	UPF0686 protein C11orf1-like
aug_v2a.15716	AWC38_SpisGene4567	Protein BUD31-like
aug_v2a.09771	AWC38_SpisGene21211	Glucose-induced degradation protein 8-like
aug_v2a.11596	donson	Protein downstream neighbor of son-like
aug_v2a.17957	v1g91106	Predicted protein
aug_v2a.20826	FOS-FOX	Transforming protein v-Fos/v-Fox
aug_v2a.20965	E2F3	Transcription factor E2F3
aug_v2a.16851	E2F5	Transcription factor E2F5
aug_v2a.14296	ALX4	Homeobox protein aristaless-like 4
aug_v2a.09657	Zglp1	GATA-type zinc finger protein 1
aug_v2a.16813	GATA2	GATA-binding factor 2
aug_v2a.08513	CREM	cAMP-responsive element modulator
aug_v2a.02056	lbx1	Transcription factor LBX1
aug_v2a.13784	rcor2	REST corepressor 2
aug_v2a.16722	5	Lhx1/5 LIM homeobox protein
aug_v2a.02300	L798_09302	Transcription initiation factor IIA subunit 1
aug_v2a.19346	gpkow	G patch domain and KOW motifs-containing protein
aug_v2a.01529	gpkow	G patch domain and KOW motifs-containing protein
aug_v2a.11497	v1g238857	Predicted protein
aug_v2a.19178	cwc15-a	Protein CWC15-like A
aug_v2a.00705	rbm5	RNA-binding protein 5
aug_v2a.19201	rbm5	RNA-binding protein 5
aug_v2a.02088	Deaf1	Deformed epidermal autoregulatory factor 1-like
aug_v2a.13659	PHC1	Polyhomeotic-like protein 1
aug_v2a.19760	Chd1	Chromodomain-helicase-DNA-binding protein 1
aug_v2a.16211	DNMT1	DNA (Cytosine-5)-methyltransferase 1
aug_v2a.17204	Ubiquitin	Ubiquitin
aug_v2a.15027	RPLP0	60S acidic ribosomal protein P0
aug_v2a.01533	Ube2ql1	Ubiquitin-conjugating enzyme E2Q-like protein 1
aug_v2a.15962	SENP7	Sentrin-specific protease 7
aug_v2a.08523	ino80d	INO80 complex subunit D
aug_v2a.12346	Arp5	Actin-related protein 5
aug_v2a.19394	Arp5	Actin-related protein 5
aug_v2a.04424	Swt1	Transcriptional protein SWT1
aug_v2a.22687	RNF123	E3 ubiquitin-protein ligase RNF123
aug_v2a.07128	CNOT2	CCR4-NOT transcription complex subunit 2
aug_v2a.19654	AWC38_SpisGene1000	Uncharacterized protein
aug_v2a.05774	ATF7IP	Activating transcription factor 7-interacting protein 1
aug_v2a.05775	ATF7IP	Activating transcription factor 7-interacting protein 1
aug_v2a.15937	ATF7IP	Activating transcription factor 7-interacting protein 1
aug_v2a.17573	med25	Mediator of RNA polymerase II transcription subunit 25
aug_v2a.09232	tada3	Transcriptional adapter 3
aug_v2a.19887	med16	Mediator of RNA polymerase II transcription subunit 16
aug_v2a.17000	VGLL4	Transcription cofactor vestigial-like protein 4
aug_v2a.21831	sap130-a	Histone deacetylase complex subunit SAP130-A
aug_v2a.06011	irf2bp1	Interferon regulatory factor 2-binding protein 1
aug_v2a.07640	PHF20L1	PHD finger protein 20-like protein 1
aug_v2a.22448	PRPF39	Pre-mRNA-processing factor 39
aug_v2a.05888	TSNARE1	t-SNARE domain-containing protein 1
aug_v2a.24558	AWC38_SpisGene12918	Uncharacterized protein C3orf38
aug_v2a.17075	BRWD1	Bromodomain and WD repeat-containing protein 1
aug_v2a.00752	BRWD1	Bromodomain and WD repeat-containing protein 1
aug_v2a.02186	v1g238609	Predicted protein
aug_v2a.22964	Tipin	TIMELESS-interacting protein
aug_v2a.20613	PDZD8	PDZ domain-containing protein 8
aug_v2a.05103	AWC38_SpisGene4280	G2/mitotic-specific cyclin-B
aug_v2a.02588	cinp	Cyclin-dependent kinase 2-interacting protein
aug_v2a.07211	v1g238129	Predicted protein
aug_v2a.23270	H4DEKL	Histone H4
aug_v2a.21760	H4DEKL	Histone H4
aug_v2a.22418	H4DEKL	Histone H4
aug_v2a.24160	Btbd7	BTB/POZ domain-containing protein 7
aug_v2a.00816	Trit1	"tRNA dimethylallyltransferase, mitochondrial"
aug_v2a.06364	Gtf3a	Transcription factor IIIA
aug_v2a.15145	wdr4	tRNA (Guanine-N(7)-)-methyltransferase non-catalytic subunit wdr4
aug_v2a.04577	Mettl1	tRNA (Guanine-N(7)-)-methyltransferase
aug_v2a.00194	N305_03187	Phosphatidate phosphatase LPIN3 (Fragment)
aug_v2a.24438	zc3hc1	NIPA-like protein
aug_v2a.12272	zc3hc1	NIPA-like protein
aug_v2a.03824	AWC38_SpisGene10853	Uncharacterized protein
aug_v2a.14530	AWC38_SpisGene10853	Uncharacterized protein
aug_v2a.20282	AWC38_SpisGene10853	Uncharacterized protein
aug_v2a.19634	AWC38_SpisGene10853	Uncharacterized protein
aug_v2a.15451	AWC38_SpisGene10853	Uncharacterized protein
aug_v2a.16811	v1g95089	Predicted protein (Fragment)
aug_v2a.02158	rexo4	RNA exonuclease 4
aug_v2a.08494	dxo	Decapping and exoribonuclease protein
aug_v2a.07596	Dxo	Decapping and exoribonuclease protein
aug_v2a.08753	Tnpo3	Transportin-3
aug_v2a.01167	cactin	Cactin
aug_v2a.07052	PUS7	Pseudouridylate synthase 7-like
aug_v2a.21734	WDR13	WD repeat-containing protein 13
aug_v2a.09983	WDR13	WD repeat-containing protein 13
aug_v2a.24198	hira	Protein HIRA
aug_v2a.18122	v1g237629	Predicted protein
aug_v2a.13526	RCHY1	RING finger and CHY zinc finger domain-containing protein 1
aug_v2a.01660	RCHY1	RING finger and CHY zinc finger domain-containing protein 1
aug_v2a.01657	RCHY1	RING finger and CHY zinc finger domain-containing protein 1
aug_v2a.18099	SRT1	NAD-dependent protein deacetylase SRT1
aug_v2a.05520	RBBP6	E3 ubiquitin-protein ligase RBBP6
aug_v2a.18527	LIN9	Protein lin-9-like
aug_v2a.22969	AWC38_SpisGene3690	Uncharacterized protein
aug_v2a.06539	insm1	Insulinoma-associated protein 1
aug_v2a.24258	Kmt2c	Histone-lysine N-methyltransferase 2C
aug_v2a.03430	PRDM6	Putative histone-lysine N-methyltransferase PRDM6
aug_v2a.03429	Prdm9	Histone-lysine N-methyltransferase PRDM9
aug_v2a.03432	PRDM6	Putative histone-lysine N-methyltransferase PRDM6
aug_v2a.03431	Prdm6	Putative histone-lysine N-methyltransferase PRDM6
aug_v2a.19308	PRDM6	Putative histone-lysine N-methyltransferase PRDM6
aug_v2a.03434	PRDM6	Putative histone-lysine N-methyltransferase PRDM6
aug_v2a.04845	CCNB3	G2/mitotic-specific cyclin-B3
aug_v2a.14444	PSMD2	26S proteasome non-ATPase regulatory subunit 2
aug_v2a.19372	PSMD2	26S proteasome non-ATPase regulatory subunit 2
aug_v2a.21620	pyroxd1	Pyridine nucleotide-disulfide oxidoreductase domain-containing protein 1
aug_v2a.03171	Theg	Testicular haploid expressed gene protein
aug_v2a.06779	PPP1R16B	Protein phosphatase 1 regulatory inhibitor subunit 16B
aug_v2a.12815	CTTNBP2	Cortactin-binding protein 2
aug_v2a.09201	v1g232486	Predicted protein (Fragment)
aug_v2a.23789	Celaphus_00014859	Uncharacterized protein
aug_v2a.06574	NOB1	NIN1/PSMD8 binding protein 1 homolog
aug_v2a.17762	NSMCE4A	Non-structural maintenance of chromosomes element 4-like A
aug_v2a.06925	mcm10	Protein MCM10-like
aug_v2a.19156	RAD17	Cell cycle checkpoint protein RAD17
aug_v2a.04220	Atoh1	Protein atonal-like 1
aug_v2a.21140	cdt1	DNA replication factor Cdt1
aug_v2a.08094	Trmt6	tRNA (Adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6
aug_v2a.04036	Trmt6	tRNA (Adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6
aug_v2a.18614	Trmt6	tRNA (Adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6
aug_v2a.05645	SCMH1	Polycomb protein SCMH1
aug_v2a.23188	HDAC1	Histone deacetylase 1
aug_v2a.20217	HDAC4	Histone deacetylase 4
aug_v2a.11877	HDAC4	Histone deacetylase 4
aug_v2a.23563	v1g246030	Predicted protein
aug_v2a.21353	v1g246030	Predicted protein
aug_v2a.23447	BRAFLDRAFT_126695	Uncharacterized protein
aug_v2a.14288	PKD1L2	Polycystic kidney disease protein 1-like 2
aug_v2a.04705	swi5	DNA repair protein SWI5-like
aug_v2a.02545	Parp12	Poly [ADP-ribose] polymerase 12
aug_v2a.02548	Parp12	Poly [ADP-ribose] polymerase 12
aug_v2a.05334	Parp12	Poly [ADP-ribose] polymerase 12
aug_v2a.02546	Parp12	Poly [ADP-ribose] polymerase 12
aug_v2a.21869	Parp12	Poly [ADP-ribose] polymerase 12
aug_v2a.19746	Parp12	Poly [ADP-ribose] polymerase 12
aug_v2a.05403	Rbp1	RNA-binding protein 1
aug_v2a.06806	smarcad1	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A containing DEAD/H box 1
aug_v2a.04003	RAD54L	DNA repair and recombination protein RAD54-like
aug_v2a.07262	mettl14	N6-adenosine-methyltransferase subunit METTL14
aug_v2a.11399	ntmt1-b	N-terminal Xaa-Pro-Lys N-methyltransferase 1-B
aug_v2a.01007	mis3	KRR1 small subunit processome component-like
aug_v2a.21560	MIPOL1	Mirror-image polydactyly gene 1 protein
aug_v2a.09080	MIPOL1	Mirror-image polydactyly gene 1 protein
aug_v2a.09817	Nab2	NGFI-A-binding protein 2
aug_v2a.24275	med27	Mediator of RNA polymerase II transcription subunit 27
aug_v2a.09253	AdiFoxL2	Forkhead box L2 protein
aug_v2a.17456	dyrk1a	Dual specificity tyrosine-phosphorylation-regulated kinase 1A
aug_v2a.02697	Ssbp3	Single-stranded DNA-binding protein 3
aug_v2a.15278	Mitf	Microphthalmia-associated transcription factor
aug_v2a.22347	USF2 (1 of many)	"Upstream transcription factor 2, c-fos interacting"
aug_v2a.14589	hes1-b	Transcription factor HES-1-B
aug_v2a.09364	HES1	Transcription factor HES-1
aug_v2a.12089	hes1-b	Transcription factor HES-1-B
aug_v2a.06347	AdiUnc4.1	Unc-4.1 homeobox protein
aug_v2a.05702	dmbx1b	Diencephalon/mesencephalon homeobox protein 1-B
aug_v2a.19818	HOXA5	Homeobox protein Hox-A5
aug_v2a.06346	unc-4	Homeobox protein unc-4
aug_v2a.24409	HOPX	Homeodomain-only protein
aug_v2a.00655	rx1	Retinal homeobox protein Rx1
aug_v2a.16064	Irx4	Iroquois-class homeodomain protein IRX-4
aug_v2a.00888	rx2	Retinal homeobox protein Rx2
aug_v2a.14965	SOX30	Transcription factor SOX-30
aug_v2a.10070	NKX1-1	NK1 transcription factor-related protein 1
aug_v2a.13159	AdiOtp	Orthopedia homeobox protein
aug_v2a.05477	Bsx	Brain-specific homeobox protein-like
aug_v2a.08573	Emx1	Homeobox protein EMX1
aug_v2a.15250	emx1	Homeobox protein EMX1
aug_v2a.07457	dlx4a	Homeobox protein Dlx4a
aug_v2a.05475	Nkx3-2	Homeobox protein Nkx-3.2
aug_v2a.01800	GBX1	Homeobox protein GBX-1
aug_v2a.05897	Pax3	Paired box protein Pax-3
aug_v2a.18532	al	Homeobox protein aristaless
aug_v2a.00574	AdiPaxD1	Paired box D1 protein
aug_v2a.05896	pax3-b	Paired box protein Pax-3-B
aug_v2a.19500	Trpa1	Transient receptor potential cation channel subfamily A member 1
aug_v2a.03972	Trpa1	Transient receptor potential cation channel subfamily A member 1
aug_v2a.16254	hhex	Hematopoietically-expressed homeobox protein hhex
aug_v2a.10071	hmx3b	Homeobox protein HMX3-B
aug_v2a.06706	HLX	H2.0-like homeobox protein
aug_v2a.05703	AdiDmbxB	Diencephalon/mesencephalon homeobox B protein
aug_v2a.05704	AdiDmbxD	Diencephalon/mesencephalon homeobox D protein
aug_v2a.12856	nkx2.2a	Homeobox protein Nkx-2.2a
aug_v2a.05476	Bsx	Brain-specific homeobox protein-like
aug_v2a.10929	not2	Homeobox protein not2
aug_v2a.06705	HLX	H2.0-like homeobox protein
aug_v2a.13161	arx	Aristaless-related homeobox protein
aug_v2a.11000	v1g197539	Predicted protein
aug_v2a.17288	Edrf1	Erythroid differentiation-related factor 1
aug_v2a.23774	ppp1r10	Serine/threonine-protein phosphatase 1 regulatory subunit 10
aug_v2a.20452	ppp1r10	Serine/threonine-protein phosphatase 1 regulatory subunit 10
aug_v2a.14380	ppp1r10	Serine/threonine-protein phosphatase 1 regulatory subunit 10
aug_v2a.17696	ZNF624	Zinc finger protein 624
aug_v2a.09544	SP3	Transcription factor Sp3
aug_v2a.05034	Sp5	Transcription factor Sp5
aug_v2a.00157	KLF13	Krueppel-like factor 13
aug_v2a.14488	FOXP4	Forkhead box protein P4
aug_v2a.00162	ZNF670	Zinc finger protein 670
aug_v2a.09233	ZXDB	Zinc finger X-linked protein ZXDB
aug_v2a.17424	ZNF862	Zinc finger protein 862
aug_v2a.17138	ZNF862	Zinc finger protein 862
aug_v2a.12205	ZNF862	Zinc finger protein 862
aug_v2a.15291	ZNF862	Zinc finger protein 862
aug_v2a.05618	ZNF862	Zinc finger protein 862
aug_v2a.15495	ZNF862	Zinc finger protein 862
aug_v2a.06003	ZNF862	Zinc finger protein 862
aug_v2a.18622	ZNF862	Zinc finger protein 862
aug_v2a.13647	ZNF862	Zinc finger protein 862
aug_v2a.00443	LOC106154455	protein FAM200A-like
aug_v2a.11670	ZNF862	Zinc finger protein 862
aug_v2a.03245	ZNF862	Zinc finger protein 862
aug_v2a.00559	ZNF862	Zinc finger protein 862
aug_v2a.07373	hex	Beta-hexosaminidase
aug_v2a.03873	Parp12	Poly [ADP-ribose] polymerase 12
aug_v2a.23618	Parp12	Poly [ADP-ribose] polymerase 12
aug_v2a.18803	Parp12	Poly [ADP-ribose] polymerase 12
aug_v2a.15743	Parp12	Poly [ADP-ribose] polymerase 12
aug_v2a.02544	Parp12	Poly [ADP-ribose] polymerase 12
aug_v2a.16942	Parp12	Poly [ADP-ribose] polymerase 12
aug_v2a.19745	Parp12	Poly [ADP-ribose] polymerase 12
aug_v2a.13306	Parp12	Poly [ADP-ribose] polymerase 12
aug_v2a.18560	v1g207141	Predicted protein (Fragment)
aug_v2a.22025	AV530_010946	Poly [ADP-ribose] polymerase 12
aug_v2a.20864	LOC108921224	putative deoxyribonuclease TATDN3 isoform X1
aug_v2a.05019	Taf3	Transcription initiation factor TFIID subunit 3
aug_v2a.02317	AMDHD2	Putative N-acetylglucosamine-6-phosphate deacetylase
aug_v2a.06770	gtf2b	Transcription initiation factor IIB
aug_v2a.10363	ZC3H10	Zinc finger CCCH domain-containing protein 10
aug_v2a.17788	jade1	Protein Jade-1
aug_v2a.23009	Zfp37	Zinc finger protein 37
aug_v2a.04253	ZNF143	Zinc finger protein 143
aug_v2a.05138	AWC38_SpisGene24505	Uncharacterized protein
aug_v2a.15385	lmo1	Rhombotin-1
aug_v2a.04257	PHF14	PHD finger protein 14
aug_v2a.05193	jmjd6	Bifunctional arginine demethylase and lysyl-hydroxylase JMJD6
aug_v2a.00808	Chrac1	Chromatin accessibility complex protein 1
aug_v2a.03978	mafb	Transcription factor MafB
aug_v2a.21811	TAF11	Transcription initiation factor TFIID subunit 11
aug_v2a.22872	Tbx15	T-box transcription factor TBX15
aug_v2a.13604	AdiGsc	Goosecoid protein (Fragment)
aug_v2a.06931	NFYB	Nuclear transcription factor Y subunit beta
aug_v2a.12090	hes4	Transcription factor HES-4
aug_v2a.12091	hes4-a	Transcription factor HES-4-A
aug_v2a.16216	AHR	Aryl hydrocarbon receptor
aug_v2a.19545	AHR	Aryl hydrocarbon receptor
aug_v2a.09488	MTPN	Myotrophin
aug_v2a.09374	Hif1an	Hypoxia-inducible factor 1-alpha inhibitor
aug_v2a.23324	Ankrd42	Ankyrin repeat domain-containing protein 42
aug_v2a.12215	Ankrd42	Ankyrin repeat domain-containing protein 42
aug_v2a.20739	Ankrd42	Ankyrin repeat domain-containing protein 42
aug_v2a.06691	NEMF	Nuclear export mediator factor
aug_v2a.22629	NEMF	Nuclear export mediator factor
aug_v2a.22061	RSBN1	Round spermatid basic protein 1
aug_v2a.03372	Kdm6a	Lysine-specific demethylase 6A
aug_v2a.23195	Rtel1	Regulator of telomere elongation helicase 1
aug_v2a.14035	v1g190712	Predicted protein
aug_v2a.17347	no66	Bifunctional lysine-specific demethylase and histidyl-hydroxylase NO66
aug_v2a.11349	no66	Bifunctional lysine-specific demethylase and histidyl-hydroxylase NO66
aug_v2a.01355	METTL16	Methyltransferase-like protein 16
aug_v2a.07603	Bud13	BUD13-like
aug_v2a.02409	trim33	E3 ubiquitin-protein ligase TRIM33
aug_v2a.14387	v1g247622	Predicted protein
aug_v2a.14227	AWC38_SpisGene16356	HMG box-containing protein C19G7.04
aug_v2a.23112	v1g217113	Predicted protein (Fragment)
aug_v2a.02480	ALKBH2	Alpha-ketoglutarate-dependent dioxygenase alkB-like 2
aug_v2a.19434	RTFDC1	Protein RTF2-like
aug_v2a.15987	rogdi	Protein rogdi-like
aug_v2a.11115	EGF1	Fibropellin-1
aug_v2a.24382	Oit3	Oncoprotein-induced transcript 3 protein
aug_v2a.20290	EGF1	Fibropellin-1
aug_v2a.13317	Oit3	Oncoprotein-induced transcript 3 protein
aug_v2a.21250	EGF1	Fibropellin-1
aug_v2a.11736	CASR	Extracellular calcium-sensing receptor
aug_v2a.07795	v1g207195	Predicted protein
aug_v2a.18592	PARP11	Poly [ADP-ribose] polymerase 11
aug_v2a.09459	NSR1	Nuclear localization sequence-binding protein
aug_v2a.02105	Gmcl1	Germ cell-less protein-like 1
aug_v2a.09176	AWC38_SpisGene13915	Uncharacterized protein
aug_v2a.07378	Tra2b	Transformer-2 protein-like beta
aug_v2a.19659	LMNB1	Lamin-B1
aug_v2a.20522	LBR	Lamin-B receptor
aug_v2a.15117	TMEM201	Transmembrane protein 201
aug_v2a.21728	v1g201018	Predicted protein
aug_v2a.23934	Bicd2	Protein bicaudal D-like 2
aug_v2a.18341	Bicd2	Protein bicaudal D-like 2
aug_v2a.17279	Nup62	Nuclear pore glycoprotein p62
aug_v2a.00767	v1g233147	Predicted protein
aug_v2a.03256	sec5	Exocyst complex component 2
aug_v2a.16337	Z043_108775	Exportin-1-like (Fragment)
aug_v2a.08841	NUP88	Nuclear pore complex protein Nup88
aug_v2a.12048	Nup107	Nuclear pore complex protein Nup107
aug_v2a.19592	NUP98	Nuclear pore complex protein Nup98-Nup96
aug_v2a.10120	NUP116	Nucleoporin
aug_v2a.12261	WDR27	WD repeat-containing protein 27
aug_v2a.07291	ANKRD28	Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A
aug_v2a.04509	BRAFLDRAFT_122985	Uncharacterized protein
aug_v2a.02030	PWWP2A	PWWP domain-containing protein 2A
aug_v2a.08138	Brf1	Transcription factor IIIB 90 kDa subunit
aug_v2a.23757	GTF3C5	General transcription factor 3C polypeptide 5
aug_v2a.12237	GTF3C5	General transcription factor 3C polypeptide 5
aug_v2a.00298	Gtf3c2	General transcription factor 3C polypeptide 2
aug_v2a.05531	v1g162318	Predicted protein
aug_v2a.15405	KDM1B	Lysine (K)-specific demethylase 1B (Fragment)
aug_v2a.04904	v1g238590	Predicted protein
aug_v2a.21628	Nkx3-2	Homeobox protein Nkx-3.2
aug_v2a.21252	ZCCHC8	Zinc finger CCHC domain-containing protein 8
aug_v2a.09550	AWC38_SpisGene15049	Homeobox protein AKR
aug_v2a.01695	kdm2b	Lysine-specific demethylase 2B
aug_v2a.14787	Asxl1	Putative Polycomb group protein ASXL1
aug_v2a.23878	v1g79419	Predicted protein
aug_v2a.18390	Rev1	DNA repair protein REV1
aug_v2a.01191	Tcerg1l	Transcription elongation regulator 1-like protein
aug_v2a.16835	EVX1	Homeobox even-skipped-like protein 1
aug_v2a.22371	SCAF8	Protein SCAF8
aug_v2a.16480	SCAF8	Protein SCAF8
aug_v2a.05491	HNRNPF	Heterogeneous nuclear ribonucleoprotein F
aug_v2a.07195	v1g174858	Predicted protein
aug_v2a.21562	v1g174858	Predicted protein
aug_v2a.05685	SRSF12	Serine/arginine-rich splicing factor 12
aug_v2a.15675	TATDN1	Putative deoxyribonuclease TATDN1
aug_v2a.22966	Efcab6	EF-hand calcium-binding domain-containing protein 6
aug_v2a.21802	Efcab6	EF-hand calcium-binding domain-containing protein 6
aug_v2a.09535	Helz2	Helicase with zinc finger domain 2
aug_v2a.11880	RTCA	RNA 3'-terminal phosphate cyclase
aug_v2a.10039	Pdik1l	Serine/threonine-protein kinase PDIK1L
aug_v2a.11733	CCDC174	Coiled-coil domain-containing protein 174
aug_v2a.09206	SUPT3H	Transcription initiation protein SPT3-like
aug_v2a.07417	PPP2R3B	Serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit beta
aug_v2a.15788	Onecut1	Hepatocyte nuclear factor 6
aug_v2a.12160	Znf367	Zinc finger protein 367
aug_v2a.09443	v1g82548	Predicted protein (Fragment)
aug_v2a.05133	CEBPE	CCAAT/enhancer-binding protein epsilon
aug_v2a.17011	v1g114346	Predicted protein (Fragment)
aug_v2a.09785	TICRR	Treslin
aug_v2a.09774	PHF13	PHD finger protein 13
aug_v2a.13602	TARDBP	TAR DNA-binding protein 43
aug_v2a.04426	FUBP3	Far upstream element-binding protein 3
aug_v2a.00177	CSTF3	Cleavage stimulation factor subunit 3
aug_v2a.00893	Cyb5rl	NADH-cytochrome b5 reductase-like
aug_v2a.12166	Cyb5rl	NADH-cytochrome b5 reductase-like
aug_v2a.22387	Pepd	Xaa-Pro dipeptidase
aug_v2a.12491	Pepd	Xaa-Pro dipeptidase
aug_v2a.10046	Usp1	Ubiquitin carboxyl-terminal hydrolase 1
aug_v2a.15101	Parg	Poly(ADP-ribose) glycohydrolase
aug_v2a.06150	v1g228195	Predicted protein
aug_v2a.03072	Vwa5a	von Willebrand factor A domain-containing protein 5A
aug_v2a.03280	ATAD2	ATPase family AAA domain-containing protein 2
aug_v2a.03281	ATAD2	ATPase family AAA domain-containing protein 2
aug_v2a.06991	al	Homeobox protein aristaless
aug_v2a.08122	rbm5	RNA-binding protein 5
aug_v2a.11298	Rnpc3	RNA-binding protein 40
aug_v2a.13860	MYO1F	Unconventional myosin-If
aug_v2a.14166	Iws1	Protein IWS1-like
aug_v2a.05099	Iws1	Protein IWS1-like
aug_v2a.10244	DBR1	Lariat debranching enzyme
aug_v2a.12916	PHF12	PHD finger protein 12
aug_v2a.15030	spen	Protein split ends
aug_v2a.24075	akirin1	Akirin-1
aug_v2a.01827	Pprc1	Peroxisome proliferator-activated receptor gamma coactivator-related protein 1
aug_v2a.17243	Taf6l	TAF6-like RNA polymerase II p300/CBP-associated factor-associated factor 65 kDa subunit 6L
aug_v2a.16412	Taf6l	TAF6-like RNA polymerase II p300/CBP-associated factor-associated factor 65 kDa subunit 6L
aug_v2a.22894	RSF1	Remodeling and spacing factor 1
aug_v2a.23680	RSF1	Remodeling and spacing factor 1
aug_v2a.09661	TRMT61A	tRNA (Adenine(58)-N(1))-methyltransferase catalytic subunit TRMT61A
aug_v2a.18393	Phc1	Polyhomeotic-like protein 1
aug_v2a.19436	pcgf1	Polycomb group RING finger protein 1
aug_v2a.01196	PcgF3	Polycomb group RING finger protein 3
aug_v2a.00277	RAD51B	DNA repair protein RAD51-like 2
aug_v2a.13038	Rnf38	E3 ubiquitin-protein ligase RNF38
aug_v2a.15287	L3mbtl3	Lethal(3)malignant brain tumor-like protein 3
aug_v2a.11654	khdrbs2	"KH domain-containing, RNA-binding, signal transduction-associated protein 2"
aug_v2a.01190	Tcerg1l	Transcription elongation regulator 1-like protein
aug_v2a.14551	RAD52	DNA repair protein RAD52-like
aug_v2a.07456	CHOX-7	Homeobox protein CHOX-7
aug_v2a.16724	ZDP	Polynucleotide 3'-phosphatase ZDP
aug_v2a.11687	v1g237113	Predicted protein
aug_v2a.05080	TEAD1	Transcriptional enhancer factor TEF-1
aug_v2a.19678	med23	Mediator of RNA polymerase II transcription subunit 23
aug_v2a.00980	v1g239885	Predicted protein
aug_v2a.06360	SNRPA	U1 small nuclear ribonucleoprotein A
aug_v2a.18375	USP39	U4/U6.U5 tri-snRNP-associated protein 2
aug_v2a.12636	ANXA6	Annexin A6
