GenBank Nucleotide Accession	GenBank Protein Accession
AF036943	AAF14051
BC039256	AAH39256
AB054576	BAC53754
BC032569	-
BC015066	AAH15066
BC032227	CAD89968; XP_016865581; XP_024302040; XP_016865580; XP_024302041; CAI45932; XP_016865585; NP_001336363; NP_055548; EAW95850; EAW95851; BAA20764; BAG54419; CAD97666; XP_005248689; XP_024302039; ; AAH30808; NP_001271166; Q7Z3T8; XP_024302038; AAL30772; NP_001098721; NP_001271165
BC039306	AAH39306
BC022243	AAH22243
BC015416	AAH15416
BC040504	AAH40504
BC041563	AAH41563
BC020841	AAH20841
BC012026	AAH12026
BC033215	AAH33215
BC033942	AAH33942
BC031674	AAH31674
BC037286	-
BC036200	AAH36200
BC022189	AAH22189
BC043499	AAH43499
BC021580	AAH21580
BC027922	AAH27922
BC029580	; EAW90346; EAW90347
BC025250	AAH25250
BC015993	AAH15993
BC029388	AAH29388
BC041155	AAH41155
BC013912	AAH13912
BC034821	AAH34821
BC022313	AAA60179; NP_002718; ; BAG34814; XP_016871881; EAW54309; AAA60322; BAA05761; CAA31255; CAA34900; NP_001307983; P10124; AAH15516; NP_001307982; EAW54310; XP_024303832; XP_024303833; XP_024303834
AF479814	AAN73436
AB066484	BAB62188
AF317417	AAK69595
BC027932	AAH27932
BC042107	AAH42107
BC020256	AAH20256
BC008370	AAH08370
BC034018	AAH34018
BC041391	AAH41391
BC008037	AAH08037
BC013112	AAH13112
AF413522	AAL07802
AB077208	BAB83677
AF488803	AAO15765
BC039316	AAH39316
BC036786	AAH36786
BC028290	AAH28290
BC028390	AAH28390
BC040474	AAH40474
BC033179	EAW69459; EAW69460; XP_011526012; NP_620168; ; EAW69463; EAW69458; EAW69462; BAC86088; XP_011526009; XP_011526011; NP_001171473; EAW69455; BAB71708; XP_006722717; XP_011526010; AAC17601; EAW69456; EAW69457; BAB71492; XP_011526013; EAW69461; XP_006722718; XP_006722719; XP_011526014; AAQ19028; EAW69454; O60423; AAH35162
BC033153	AAH33153
BC028158	AAH28158
BC034293	AAH34293
BC025707	AAH25707
BC043367	AAH43367
BC016789	AAH16789
BC039540	AAH39540
BC031958	
BC008390	AAH08390
BC031332	AAH31332
AF040701	AAC68502
BC022454	AAH22454
BC007558	-
BC036083	AAH36083
BC041888	AAH41888
AY099353	AAM33786
BC012121	AAH12121
BC030005	AAH30005
BC020886	AAH20886
AK097110	AAH20886; 
AF396651	AAK85377
BC022483	AAH22483
AF193046	AAG22474
BC032544	AAH32544
AF523265	AAM82158
BC008410	BAD89399; BAD89402; XP_006712659; XP_016859833; NP_001307978; BAD89404; CAH18270; XP_011509658; XP_024308734; NP_001307974; EAX10883; EAX10884; EAX10885; BAG59866; XP_016859836; XP_016859838; XP_024308737; NP_001121615; BAD89400; BAD89401; BAD89406; ABB04020; XP_016859835; XP_024308733; ; BAD89398; AAP35593; XP_016859839; XP_024308735; XP_024308736; NP_001121616; NP_001307977; AAA63922; AAO89079; ABB04019; AAH96331; NP_001276337; BAD89403; BAD89405; BAG58489; BAG65413; AAH84548; AAH96330; XP_016859834; XP_016859837; NP_001307975; NP_001307976; NP_001307980; P54277; BAH14586; AAH96332; XP_024308732; NP_000525; NP_001276338; NP_001307973
BC033638	AAW78563; ; AAK71682; AAI17479; AAI17481; XP_011540885; NP_001381509; EAW67062; Q5EG05; NP_443121; BAG34843
BC032372	AAH32372
BC033559	AAH33559
BC020873	AAH20873
BC010432	-
BC032481	AAH32481
AF273055	AAM44458
AY078166	AAL86618
BC033233	AAH33233
BC010850	AAH10850
BC017957	AAH17957
BC040290	Q8IWF7; 
BC029583	EAW73895; EAW73894; EAW73896; Q8NCQ3; 
BC018440	-
BC013155	AAH13155
AF394735	AAN74648
BC040642	AAH40642
BC008846	-
BC036407	AAH36407
AF468657	AAL77058
AB083191	BAC16359
AF450454	AAL47167
BI092935	-
BC038806	AAH38806
BC032334	AAH32334
BC029465	EAW48886; 
BC031945	EAW71142; AAY24334; Q8NEE0; 
AF486838	AAL96658
BC036569	AAH36569
BC018663	AAH18663
BC027951	AAH27951
BC036504	AAH36504
AB085825	BAC53763
BC011404	AAH11404
BC032837	AAH32837
BC014029	AAH14029
BC019895	AAH19895
BC035912	AAH35912
BC040924	AAH40924
BC027939	AAH27939
BC028064	AAH28064
BC022570	AAH22570
BC033211	AAH33211
BC030524	AAH30524
BC040456	AAH40456
BC016825	AAH16825
BC020699	EAX01114; CAA76416; BAF82623; AAB59354; AAB59355; NP_001035739; NP_004291; BAF84550; AAB27085; NP_009030; ; AAB59628; EAX01112; P24666; BAD93075; AAH07422; AAI06012; AAP35800; AAC52067; AAY14958; EAX01111; EAX01116; AEE61174; EAX01113; EAX01115
BC031673	AAH31673
BC017956	AAH17956
BC020838	AAH20838
BC009340	-
BC007822	; EAW89395; EAW89398; AAH51868; XP_005257624; XP_016880424; XP_024306633; XP_024306635; EAW89396; EAW89397; BAB21825; BAB14948; AAH04525; AAH25977; NP_071349; EAW89399; Q9C0C9; CAH10644; AAH36820; XP_024306634; BAB14320; BAB15313; AAH22237
BC010680	AAH18759; AAH29272; AAH93835; AAI43293; NP_937829; NP_001171663; ; NP_054729; BAG37513; AAI43290; NP_001351998; NP_001351997; O75129; BAA31609; AAI43294; NP_001171664; EAW87444; AAF14357; BAG54491; AAI01668; AAI46757; NP_937830; NP_937831; BAG51261
BC036231	EAX10242; BAH11962; BAH13117; XP_011527579; XP_016883402; NP_001092877; NP_060622; ; EAX10245; XP_006723647; XP_016883405; XP_016883407; XP_016883408; NP_001354543; BAD18596; XP_016883400; NP_001354547; XP_011527570; XP_024307702; EAX10243; EAX10244; BAA91706; XP_016883399; NP_001354541; NP_001354542; Q9NVP4; AAI30342; AAI44154; XP_016883401; EAX10246; AAZ13595; XP_011527573; XP_011527574; XP_016883404; XP_016883409; XP_016883410; NP_001338613; NP_001354548; BAB70949; CAH18182; NP_001338612; NP_001354540; NP_001354546
AF111799	AAL39001
BC030651	AAH30651
BC015030	AAH15030
BC022419	AAH22419
BC026081	NP_689868; NP_954577; AAH63820; BAB71174; ; Q6P3V2; BAB85057; BAF83349; NP_001275729
BC033184	-
BC038807	AAH38807
BC039891	AAH39891
BC015186	AAH15186
AF262322	AAM08128
BC030659	AAH30659
BC025708	AAH25708
AY062002	AAL40388
BC028058	AAH28058
BC038983	AAH38983
BC041158	AAH41158
BC043599	AAH43599
AF547222	AAN65378
BC032771	AAH32771
BC040138	AAH40138
BC041667	AAH41667
BC035224	Q5M9N0; ; EAX05789; EAX05790; BAC05359; AAH86869; XP_011530214; XP_011530216; XP_016863649; EAX05792; XP_011530215; NP_001381883; EAX05788; XP_005263031; XP_011530211; EAX05791; XP_011530218; XP_011530219; BAC05347; XP_011530217; NP_001036249; XP_011530210; XP_011530212; XP_011530213
BC035978	BAG63039; BAG36011; ; BAF83810; AAA36498; XP_011531209; AIU34530; BAD96871; NP_001683; EAW99790; EAW99791; P15313; AHA90857; AAD11943; AAH63411
BC014484	AAH14484
BC009862	NP_001377772; XP_011511590; XP_011511591; NP_001307302; NP_001377769; NP_001377773; XP_011511594; NP_612354; AAI36610; XP_011511593; NP_001377770; CAD39157; Q8N398; BAG57274; NP_001377771; ; AAH01200; NP_001377768; NP_001377775; NP_001377776
BC031632	AAH31632
BC012027	AAH12027
BC022014	AAH22014
BC014207	EAW75746; AAL14467; BAG63932; XP_005260555; BAB47463; BAG61327; AAX21788; XP_005260556; NP_001305182; NP_877496; EAW75745; Q96JJ3; AAL38512; BAB14210; XP_005260558; NP_573403; BAH11614; AAH00143; XP_005260557; XP_006723917; ; EAW75743; BAB71350; XP_016883498; EAW75739; BAB13879; XP_005260553; XP_016883500; BAB14405; XP_016883499; XP_024307729
AF394064	AAM69538
BC022302	BAH13934; CAH18297; EAW55476; AAC68881; ; EAW55478; EAW55477; Q9Y471; ACN93797
BC008992	AAH08992
AF248634	AAK39969
BC016673	-
BC030952	AAH30952
BC038838	AAH38838
BC013916	AAH13916
BC018044	AAH18044
BC031228	-
BC024194	AAH24194
BC029445	; XP_016869339; XP_016869343; XP_016869345; NP_001351799; CAJ42307; XP_006716537; XP_011515909; XP_016869338; NP_001350060; XP_011515900; XP_011515913; XP_016869340; XP_016869347; XP_024303049; XP_024303050; NP_001278268; NP_001350062; NP_001351798; EAW86934; XP_006716540; XP_016869341; XP_024303051; CAE47426; AAH22867; XP_005251362; XP_011515911; XP_024303047; NP_001350061; NP_001369320; NP_079066; BAB15375; XP_011515902; EAW86933; Q1MSJ5; XP_011515901; XP_011515904; XP_011515905; XP_016869337; EAW86932; XP_011515903; XP_016869336; XP_016869344; XP_024303052
BC012503	BAA95206; BAA95207; BAA95208; EAW65484; NP_001341535; NP_001341536; NP_937802; ; EAW65481; EAW65483; O75030; BAB83926; NP_001171896; NP_001171897; NP_001341533; NP_937801; NP_937820; AKK25261; EAW65480; NP_001341534; NP_001341537; QYJ54461; QYJ54462; BAB85121; BAG60189; NP_000239; AMM45330; BAC16749; AAH26961; BAA95209; EAW65482; BAA32288; AIZ97493; EAW65479; BAG58874; CAB53672; AAH65243; ADB90411; NP_937821; BAF84007; CAA82775; NP_006713
BC029359	AAH29359
AF437876	AAL30893
BC009712	AAH09712
BC021187	; EAW73969; CAB56004
BC009793	AAH09793
BC017833	AAH17833
BC039704	AAH39704
BC032716	-
BC015944	AAH15944
BC021741	
AY095480	AAM23312
AF499009	AAM18136
BC013103	AAH13103
BC020763	-
AF190748	AAL08583
BC033851	AAH33851
BC029395	AAH29395
BC028351	AAH28351
BC036202	AAH36202
BC030706	AAH30706
BC039085	AAK76739; EAW82717; BAG63044; XP_016879289; XP_016879290; NP_001357425; NP_001357426; AAK58869; XP_016879287; XP_016879288; EAW82722; AAL99902; XP_011521699; XP_016879286; XP_024306243; EAW82718; EAW82721; XP_016879292; NP_149163; EAW82716; EAW82719; EAW82720; Q96J66; XP_016879291; ; EAW82715; XP_011521700; AAK19755; NP_115972; NP_660187
BC037292	AAH37292
BC034571	AAH34571
BC034978	Q6L8Q7; BAG62110; NP_001309105; EAW65342; BAD20938; CAD38538; NP_808881; BAB85079; NP_001309106; ; EAW65343
BC043351	AAH43351
BC041560	AAH41560
BC036351	AAH36351
BC020726	AAH20726
BC042500	AAH42500
BC012981	EAW58894; XP_006717061; XP_024303213; XP_005251851; XP_016869934; NP_775822; EAW58893; EAW58895; CAH18302; AAH64367; CAH18298; XP_024303215; ; ABC48694; XP_005251850; XP_006717062; XP_016869936; EAW58892; Q68DC2; BAC04317; BAG54553
AY116214	AAM97780
BC035583	AAH35583
AB049740	BAB40929
BC022851	NP_001350516; ; AAA58436; Q02928; BAG60530; XP_005270596; XP_016855954; NP_000769; AAQ56847; BAA02864; BAA05491; AAB29503; NP_001306084; BAG60640; AAH41158; AAO16078; AAB29502; CAA50586
BC031094	AAH31094
BC033817	AAH33817
BC038104	AAH38104
BC034287	BAC04000; BAH13376; NP_848611; BAC03991; BAF84693; ; EAW83092; EAW83093; Q86VI1
AF416922	AAL40938
BC036910	AAH36910
BC021267	AAH21267
BC017303	AAH17303
BC007399	
BC010942	AAH10942
BC034024	-
BC009388	AAH09388
BC036445	AAH36445
BC008216	-
AY116207	AAM75145
AF426270	AAM53526
BC016690	AAM53525; EAX09421; ; P59090; AAM53526
BC008359	-
BC018090	AAH18090
BC040018	Q86UF4; BAC85648; XP_011507779; NP_001380994; ; XP_006711352; EAW90726; NP_848645
AF359241	AAK43714
BC033959	-
AF329092	AAN16206
BC038443	AAH38443
BC042607	AAH42607
AB064667	BAB93518
BC024651	-
BC018748	AAH18748
AY032593	AAK51135
BC008253	
BC036837	AAH36837
BC022082	AAI41863; AHW56463; AAB71661; AAF34344; EAW51474; Q9P1A6; AAF34345; EAW51475; ; BAA23256; NP_001333739
AB066566	BAB84092
BC014307	AAH14307
BC009878	
BC020226	ARB08422; EAX03640; EAX03641; BAH13478; ; AHW47923; ARB08420; ARB08423; ARB08424; CAA60789; EAX03638; CAG46631; NP_002111; AHW47940; AHW47974; ARB08421; ARB08425; P13765; BAH14568; AAV97948; CAA26870; AAA59717; CAA47028; AAH06097; AHW47957; ARB08426; ARB08427; EAX03639; AAA59718; CAG46610
BC031580	-
BC031620	AAH31620
AB027133	BAB71953
BC042592	AAH42592
BC032944	AAH32944
BC040275	AAH40275
BC037344	AAH37344
BC041841	-
AY151286	AAN52932
BC036784	AAH36784
AB064670	BAB93521
BC034228	AAH34228
BC036197	AAH36197
BC032247	AAH32247
BC036233	AAH36233
BC043277	AAH43277
BC030808	AAH30808
AB062488	BAB93513
BC043295	AAH43295
BC040272	AAH40272
BC030717	AAH30717
BC038799	AAH38799
BC039340	AAH39340
AB052950	BAC02696
AF464736	AAL69960
BC036029	AAH36029
BC042872	AAH42872
BC030525	-
BC032124	AAH32124
AY032980	AAL62340
AF464735	AAL69959
AF482697	AAN07148
AF495717	AAM88774
BC012846	AAH12846
BC031042	AAH31042
AY133679	AAN08629
BC028195	AAH28195
M29276	EAW60485; AAH00095; AAA51677; ; EAW60486; CAG30413; AAB06718; EAW60484; P17050; AAA59902; NP_001349779; ASU96594; NP_000253; NP_001349777; AAA36351
BC034740	AAH34740
BC028630	AAH28630
AY176040	AAO22141
BC012462	AAH12462
BC021197	AAH21197
BC028127	AAH28127
BC029605	AAH29605
BC027724	AAH27724
BC032518	AAH32518
AB062482	BAB93507
BC034621	AAH34621
BC028592	-
BC028936	AAH28936
AY078987	AAL85492
BC029495	XP_011522353; XP_011522354; XP_011522359; ; CAB94196; XP_016880779; AAO21348; XP_011522357; CCQ43264; CAA45110; XP_011522352; NP_001291213; XP_011522358; BAH16658; CAA45109; XP_011522355; XP_011522361; P35125; CAA45108; CAA45111; XP_011522356; NP_004496; AAN38838; XP_011522360
BC021121	ACS13727; EAW88952; EAW88956; AAF31483; CAC15059; AAH13629; AAI30470; XP_006719066; NP_001171914; EAW88953; EAW88954; EAW88957; EAW88958; ABL59897; XP_011519299; AAO46160; AAI41882; ABL59896; XP_016875324; XP_016875328; Q9H4A3; XP_011519310; XP_016875323; XP_016875325; XP_016875326; XP_016875327; NP_055638; NP_998820; ; AEY99342; XP_011519300; XP_011519304; XP_011519308; NP_061852; ACS13726; ACS13728; XP_011519311; DAA04494; BAA20802; ABL59898; XP_011519301; XP_011519303; XP_011519305; XP_011519307; XP_011519309; EAW88951; EAW88955; AAI30468; ABL59899; XP_011519302; XP_011519306
BC016922	AAH16922
BC032242	-
BC043409	AAH43409
BC039591	AAH39591
BC036762	AAH36762
BC036349	BAA91425; XP_024303364; XP_024303365; NP_001340419; BAG58646; XP_006716864; XP_011516259; XP_016870372; NP_001034484; EAW58784; Q8N4H0; XP_016870371; XP_024303367; NP_001340415; ; EAW58783; XP_011516260; XP_016870374; NP_001340414; NP_001340418; XP_006716863; XP_011516254; XP_011516256; XP_024303366; NP_001340413; NP_001340417; NP_001340420; AAH34293; NP_001340416; BAG63245; XP_006716858
BC028587	AAH28587
BC027852	; EAW77026
BC011231	-
BC031108	
BC020868	AAH20868
BC020898	AAH20898
BC013798	-
BC028194	AAH28194
BC027853	BAA78636; EAW47489; ; Q9Y6Z2; EAW47488
BC036870	AAH36870
BC035694	-
AF465485	AAL73495
AB053303	BAB69013
BC030711	EAW99872; BAF83530; ; AAY24113; AAH41144; EAW99871; NP_775816; AAY14945; AAY24008; Q8IW19
BC010956	AAH10956
AY124188	AAM97501
BC035744	AAH35744
BC021930	AAH21930
BC023288	AAH23288
BC034035	AAH34035
BC026073	AAH26073
AB053321	BAB69028
BC022300	AAH22300
BC041787	AAQ21581; CAD39201; EAW70613; BAG57862; BAG64454; XP_011509986; EAW70612; BAG60835; XP_005246851; XP_016860256; EAW70614; BAD92887; AAH71165; XP_006712774; NP_000569; AAA57557; BAA09782; BAA08907; XP_005246850; XP_011509987; ALB26646; CAA57541; BAA08908; ; AAA57556; P49279; BAA07370; XP_006712773; AAG15403; AAG15405; ALB26645; AAA57521; EAW70611; XP_006712772; XP_016860254; XP_016860255
BC008618	-
BC029869	AAH29869
BC020749	AAH20749
BC026009	BAG61215; EAW92801; Q8IWK6; AAR11374; AAH35645; XP_005248194; AAQ88673; NP_660333; BAG53149; AAO27355; XP_011512113; 
BC008680	AAH08680
BC032412	AAH32412
BC030539	AAH30539
BC036839	AAH36839
BC027254	-
BC026102	AAH26102
BC029877	-
AF494343	AAN07162
BC009051	-
BC013319	AAH13319
BC020622	AAH20622
BC021198	AAH21198
BC022079	; EAX06153; AEE61038; NP_001094344; NP_631912; EAX06155; EAX06157; EAX06158; AAI32713; AAI36967; AAY21808; EAX06154; Q4ZJI4; BAG36359; EAX06152; AAM22868; EAX06156; AAS91021; AAI10795
BC020869	EAW50328; EAW50329; ; AAH41803; NP_001350734; BAF82279; NP_001317169; AAH00924; NP_001034172; NP_001096624; Q8IVW1; AAF64278; AAH30570; BAF98748; BAD92581; AAM12600; NP_001339698; XP_005257496; XP_011523179; XP_016880218; NP_001275742; XP_011523177; NP_001107210; XP_011523178; NP_001275740; NP_001317173; NP_001275741; NP_057716
BC039241	AAH39241
BC026175	AAH26175
BC014602	AAH14602
AY101186	AAM50036
BC014311	AAH14311
AF142421	AAF63416
BC007859	AAH07859
BC033582	-
BC027465	AAH27465
BC033057	; EAW91922; Q96NL1; NP_694560; BAB70881; AAH30710; EAW91921
AF195969	AAK58137
BC008122	-
BC042481	AAH42481
BC042138	AAH42138
AF533251	AAM95992
BC020691	EAL24400; EAW83383; BAH14102; CAN36300; CAV30744; AAA17884; CBX78820; EAW83382; CAH56351; AAQ96862; CBX74360; ; NP_005737; CAM12699; EAL24399; EAW83384; P43490; AAI06047; AAF19249; BAF85540; AAH72439
BC020200	AAH20200
BC009026	AAH09026
AF425865	AAO13873
BC034696	AAH34696
BC009366	-
BC009738	AAH09738
BC035349	-
BC012622	AAH12622
BC032733	AAH32733
BC020894	AAH20894
AF425864	AAO13872
BC024890	AAH24890
AY008263	AAG15411
BC032019	
BC027486	; EAX08442
BC020707	AAH20707
BC021723	AAH21723
BC020626	AAH20626
BC012036	AAH12036
BC017869	Q8NEA4; BAF82344; AAH33935; EAW70911; AAH22538; XP_005246374; NP_777559; ; AAY14756; EAW70909; EAW70910; EAW70912; BAG53868
BC022083	; EAX08215
AY039243	AAK72408
BC012620	AAH12620
BC012081	AAH12081
BC010136	AAH10136
AF466766	AAL75992
BC039694	-
BC008091	-
BC009871	-
BC037281	AAH37281
BC018028	AAH18028
AF238488	AAL32997
AF400602	AAL11718
AF346904	AAM43829
BC009278	-
BC010900	AAH10900
BC008094	AAH08094
AB040820	BAC54565
BC031827	-
BC021739	AAX88932; 
BC008306	AAH08306
AY048774	AAL07306
BC007010	-
AF367019	AAK53708
AF426267	AAM53523
BC025770	EAW80820; EAW80823; EAW80824; AAH62575; XP_011535295; NP_065714; BAD92455; AAL09440; ; EAW80821; AAP97172; BAB55055; AAM21124; CAC06611; BAB55013; Q9H4E5; EAW80822; XP_006720277
BC021188	AAI46875; ; CBH19331; P0C7M6; AAI71818; NP_001078948; NP_001380816; AAI71811; NP_001193952; EAW65154; AAI46890
BC042578	AAH42578
BC011942	-
AY037555	AAK68689
AF493879	AAM12593
BC032347	AAH32347
BC031469	AAH31469
AY168346	AAN86964
AB093548	BAC21101
AF394782	AAK83368
AY082340	AAL99253
BC036444	AAH36444
AF183187	AAG17468
AB099662	BAC55103
BC036669	AAH36669
AF543190	AAN40768
AY152403	AAN86578
AF391558	AAO13803
AF465843	AAO33376
AL832319	-
AF401655	AAK94065
AY064415	AAL40873
AY116216	AAM97782
AF418600	AAL99903
BC042999	AAH42999
BC039263	AAH39263
BC033036	AAH33036
BC030130	AAH30130
AB085628	BAC11010
BC044242	AAH44242
BC044793	AAH44793
BC021229	AAH21229
BC032348	AAH32348
AF453528	AAL50802
BC035554	AAH35554
BC007934	-
AF468497	AAL78634
BC029174	AAH29174
AF390028	AAL58838
BC023549	AAH23549
BC009106	AAH09106
AY118267	AAM80558
BC019064	AAH19064
AB053469	BAC54108
BC026091	BAC05431; BAF85086; CAD38871; XP_016859051; ; AAY24180; BAH12174; AAI50654; CAD39048; AAH22028; XP_011509074; AAY24027; EAX01913; XP_011509072; XP_016859050; NP_659429; CAD89964; EAX01912; XP_006712422; XP_011509073; XP_011509076; NP_001332793; Q502W6; BAC04047; BAH13693; AAH95480; XP_011509077; EAX01914; BAC03518; XP_005263954; XP_006712420; XP_016859053; XP_024308512
AF072506	AAD14546
AF388364	AAL09579
BC033718	AAH33718
AB062477	BAB93502
AF493798	AAM49574
AF155133	AAK49016
AF521189	AAM77664
BC030058	AAH30058
BC018142	AAH18142
BC035596	AAH35596
AF125104	AAL75941
AB085901	BAC41200
BC032578	AAH32578
BC039825	AAH39825
BC035815	AAH35815
BC014955	AAH14955
BC026308	AAH26308
AB052957	BAC15607
BC001517	AAH01517
AF193050	AAG22478
BC017348	AAH17348
BC046109	AAH46109
BC046206	AAH46206
AF495383	AAM49575
BC022487	AAH22487
AY098914	AAM28946
AF439324	AAL84188
BC030198	AAH30198
AF307097	AAL29191
AF159174	AAL25998
AB051846	BAB61868
BC041156	AAH41156
BC020198	AAH20198
BC017739	-
AF193836	AAK71508
BC037547	AAH37547
BC033748	AAH33748
BC041175	AAH41175
L78790	AAD14952; AHZ44426; AHZ44431; AHZ44434; EAX09381; QWE79083; QWE79085; NP_000202; AAD14951; AHZ44420; AHZ44430; CAB90553; AAB21404; AHZ44414; AHZ44416; AHZ44436; AHZ44438; CAA45427; QLC27665; BAG53190; AAL40068; ; AHZ44424; AHZ44427; AHZ44435; EAX09382; EAX09384; QRN45531; BAD96225; AAH05861; AHZ44421; AHZ44429; AHZ44437; AHZ44439; EAX09385; BAD92146; XP_006724064; NP_001120963; AHZ44422; AHZ44425; AAL14027; AHZ44417; AHZ44419; AHZ44423; AHZ44432; EAX09383; P05107; QWE79084; BAG64523; CAA68266; NP_001290167; AHZ44415; AHZ44418; AHZ44428; AHZ44433; AAA59490
AY039238	AAK68657
AF467257	AAM60767
BC045107	AAH45107
BC017314	AAH17314
BC033286	AAH33286
AY039237	AAK72102
BC034477	AAH34477
BC010094	EAW85795; AAC32661; NP_004195; ; EAW85796; EAW85798; BAG52479; AAH06377; NP_683721; Q9BRB3; AAK61235; EAW85800; BAG36993; EAW85797; BAG62051; EAW85799; BAA24948
BC014145	AAH14145
BC034236	; EAW84859; BAF82346
AL136602	-
AY176665	AAO17829
AF277624	AAK61307
AF527554	AAO32674
AF111804	AAL39006
AF319622	AAN76500
AF455755	AAL57868
AF304443	AAL26788
AB071393	BAC06832
BC037954	AAH37954
AF303373	AAL26785
AF465820	AAL75985
BC041608	; NP_001036158; EAX06775; BAC87346; AAQ88984; XP_011539680; EAX06773; EAX06774; Q6UWV7; XP_011539679
BC030812	AAL02262; AAQ89245; AAH63293; BAA31663; AAD41494; O75173; ABC88384; ADO22279; ; EAW52627; BAF84262; NP_005090; NP_001307265
BC017500	AAH17500
BC022377	AAH22377
BC029828	AAH29828
AF258566	AAG23769
BC029868	AAH29868
BC025332	AAH25332
AB053310	BAB69019
AY143171	AAN37406
BC044943	-
BC026186	EAX06382; Q92643; BAG35850; EAX06381; EAX06383; AAB81597; CAA68871; NP_005473; ; BAG65185; EAX06380; AAH20737
BC046095	AAB58938; AAH70151; CAI56750; BAE06085; XP_016867006; EAW47754; CAH18338; NP_005091; BAA19927; XP_016867007; ; EAW47755; NP_001357275; EAW47753; Q02952; AAH47728; AAA35931; AAC51366; NP_653080
BC046248	AAH46248
BC030602	EAW80225; NP_056009; AAH30796; NP_001290208; BAA34447; XP_024306538; CAD97800; EAW80223; EAW80222; AAI46764; XP_016880174; EAW80221; ; EAW80224; O94832; NP_001290209
AY038927	AAK69770
AF258587	AAG23790
BC025383	AAH25383
BC015877	AAH15877
BC029819	AAH29819
BC026241	AAH26241
BC032232	-
AF218570	AAL55648
AF258585	AAG23788
AF367476	AAM21204
BC044938	AAF04467; ; Q9UKT6; EAW62202; EAW62203; AAI06754
BC012881	-
AF468053	AAL76276
AF387617	AAL91358
BC016828	AAH16828
BC012919	AAH12919
BC009606	AAH09606
AB072358	BAB84117
BC028225	AAH28225
AY034482	AAK59704
BC007806	-
AF258575	AAG23778
AF106913	AAL36452
BC015770	AAH15770
BC025700	AAH25700
BC040013	AAH40013
AF465407	AAL73493
BC031637	AAH31637
BC044830	AAH44830
BC034430	AAH34430
BC015531	XP_016869307; NP_001308766; NP_001308768; AAH69744; AAI08930; BAG52209; BAG37128; NP_001308767; BAF82159; BAG57361; EAW86826; P35219; EAW86824; EAW86825; ; AAH69794; XP_011515890; NP_004047; AAL78170; XP_011515889; AAA35653
BC046241	AAH46241
AY140956	AAN46670
BC013174	AAH13174
BC032318	AAH32318
BC033708	AAH33708
AF010312	AAC39530
AF204269	AAL31472
BC021560	AAH21560
BC039498	AAH39498
BC015866	-
AF494535	AAM18054
AF525085	AAN59903
BC046208	AAH46208
AY083533	AAM08926
AF267533	AAF78955
BC009222	AAH09222
BC029035	AAH29035
AF305840	AAL15579
BC014364	AAH14364
AF396457	AAK81860
BC009479	AAF23353; NP_001021100; NP_001374375; NP_001374379; NP_001374386; NP_001374394; NP_001374396; ; NP_001374390; NP_001374391; CAB46375; CAD38794; AAI05639; NP_001374377; NP_001374392; NP_001374393; Q9Y4R7; NP_001374380; NP_001374383; NP_001374388; NP_001374395; BAB14741; AAH98298; AAH99735; NP_001352980; NP_001374385; NP_001374382; NP_001374387; NP_001374389; BAG37589; NP_001374376; NP_001374381; NP_001374384; BAG59759; AAH98361; NP_001374378
BC017880	AAH17880
BC046200	AAH46200
AF459643	AAO15549
BC028606	AAH28606
BC008922	AAH08922
BC015207	AAH15207
AF090894	AAF24018
BC039025	-
AY047359	AAL10686
BC035817	AAH35817
AF440758	AAM76997
BC012117	AAH12117
AY151049	AAN72312
AB064668	BAB93519
AY129152	AAN28267
BC013687	-
BC010357	AAH10357
AF527974	AAO16090
AB001596	BAB46924
BC027179	AAH27179
BC031671	AAH31671
BC014538	AAH14538
AF361054	AAK48938
BC008854	AAH08854
BC018016	AAN03396; AAN03398; AAN03401; EAW83480; AAM60763; AAM60769; AAI26105; ABG77460; XP_016868290; AAN03390; AAN03404; AAS07502; EAL24367; EAW83482; AAL10762; AAM60762; AAM60767; BAD18444; BAG59501; AAN60016; CAH18092; NP_683698; ; AAN03397; AAN03400; AAN03402; AAN03405; AAN03408; EAW83479; EAW83483; EAW83484; AAM60766; AAM13672; NP_683697; AAN03389; AAN03395; AAM60761; NP_683696; AAN03394; EAL24368; O15409; AAM60768; AAI43868; AHW56479; AHW56718; NP_001166238; AAN03391; AAN03393; AAN03399; AAN03403; AAS07400; EAW83485; EAW83486; AAM60764; AAI43867; NP_001166237; AAN03406; AAN03407; EAL24369; EAW83481; AHW56725; AAN03392; AAS07399; AAM60765; NP_055306
BC045709	AAF99698; EAW57658; XP_011519732; NP_001257802; Q99928; XP_016877548; XP_016877547; XP_024305657; EAW57659; XP_011519733; XP_016877549; AAB39369; AAF63215; ; NP_150092
BC019231	-
BC043542	AAH43542
BC036262	; EAX00472; NP_001358849; NP_001358850; NP_001372125; EAX00470; EAX00471; BAF83442; NP_001358843; NP_001358845; AAQ09602; NP_001288781; NP_001358846; NP_001358847; EAX00474; Q9Y316; BAD74067; AAH70046; AAL34462; AAH18733; XP_011531198; NP_001131074; NP_001288762; NP_001358841; NP_001358842; BAD74066; AAH94681; EAX00467; BAG59632; NP_057039; EAX00468; EAX00469; EAX00473; AAD27736
BC007218	AAH07218
AF403061	AAK98550
BC015409	AAH15409
AY071904	AAL60586
AF411117	AAL26488
AF465767	AAM73985
AY040326	AAK77222
AF494344	AAN07163
BC020750	AAH20750
BC018503	AAH18503
BC040723	AAH40723
